yyyymmdd,return,cumulative_return,mean_abs_weight,portfolio_direction,Stock_0,Stock_1,Stock_2,Stock_3,Stock_4,Stock_5,Stock_6,Stock_7,Stock_8,Stock_9,Stock_10,Stock_11,Stock_12,Stock_13,Stock_14,Stock_15,Stock_16,Stock_17,Stock_18,Stock_19,Stock_20,Stock_21,Stock_22,Stock_23,Stock_24,Stock_25,Stock_26,Stock_27,Stock_28,Stock_29,Stock_30,Stock_31,Stock_32,Stock_33,Stock_34,Stock_35,Stock_36,Stock_37,Stock_38,Stock_39,Stock_40,Stock_41,Stock_42,Stock_43,Stock_44,Stock_45,Stock_46,Stock_47,Stock_48,Stock_49,Stock_50,Stock_51,Stock_52,Stock_53,Stock_54,Stock_55,Stock_56,Stock_57,Stock_58,Stock_59,Stock_60,Stock_61,Stock_62,Stock_63,Stock_64,Stock_65,Stock_66,Stock_67,Stock_68,Stock_69,Stock_70,Stock_71,Stock_72,Stock_73,Stock_74,Stock_75,Stock_76,Stock_77,Stock_78,Stock_79,Stock_80,Stock_81,Stock_82,Stock_83,Stock_84,Stock_85,Stock_86,Stock_87,Stock_88,Stock_89,Stock_90,Stock_91,Stock_92,Stock_93,Stock_94,Stock_95,Stock_96,Stock_97,Stock_98,Stock_99
20000104.0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000105.0,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
20000106.0,0.014775453009769892,0.014667359457299595,0.25,0.36,0,1,0,-1,1,1,0,1,0,-1,1,1,0,1,0,1,1,0,-1,0,0,1,1,0,1,1,1,1,-1,0,0,-1,1,-1,-1,0,-1,1,0,0,1,1,1,-1,0,0,1,1,0,1,1,1,1,0,1,1,1,-1,0,0,-1,-1,0,-1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0
20000107.0,0.011585100613734673,0.026185866627250347,0.17000000000000001,-0.17647058823529413,0,0,0,-1,1,1,0,1,-1,0,1,1,0,0,0,0,0,1,-1,-1,-1,0,0,1,-1,0,1,1,1,-1,0,0,-1,-1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,-1,0,-1,1,-1,1,0,1,0,1,0,0,-1,0,0,1,-1,0,0,-1,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,0,1,0,-1,1,0,1,0,0,1,0,0,0,1,0,1,0
20000110.0,0.014162112157808538,0.040248632940656247,0.22,-0.5454545454545454,-1,0,0,0,1,0,0,-1,0,0,1,-1,0,-1,-1,1,-1,0,-1,-1,1,1,0,0,-1,0,0,-1,0,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,1,0,1,0,0,0,-1,-1,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0
20000111.0,0.011414297708869833,0.051598279056656787,0.17999999999999999,-0.6666666666666666,0,0,0,0,1,0,0,-1,0,0,1,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,-1,1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,0,-1,1,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1
20000112.0,0.0090414089118251665,0.060599059141851951,0.10000000000000001,-0.6,0,1,0,-1,1,-1,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,1,1,0,0,1,0,1,1,0,-1,0,-1,0,-1,0,1,0,0,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,1,-1,1,0,1,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0,0
20000113.0,0.0062983123498850935,0.066877620013113565,0.11,0.09090909090909091,0,1,0,-1,1,0,0,-1,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,-1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20000114.0,0.010583101001630235,0.077405112001131995,0.10000000000000001,-0.4,0,0,0,0,1,0,0,-1,-1,0,1,-1,0,-1,0,0,-1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,-1,1,0,1,0,1,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
20000118.0,0.012098642225043615,0.089431150670655879,0.080000000000000002,0.25,-1,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,1,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
